what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029432779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029434374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029500387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438029506843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1438029507804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1438029509535
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438029510392
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1438029511259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029513256
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029536676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1438029536737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1438029536737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029538707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029552577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029557197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029629486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029634321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029663695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029668301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029679364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029680696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029688291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029689364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029694019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029697570
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029706454
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1438029712051
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1438029712125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029713757
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029716330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029727468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029731479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029735682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029738590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438029747010
