what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123115826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123139770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123139926
error,log,,,"Unhandled event loop exception",1438123140017
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438123154385
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123158006
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1438123158007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1438123159533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1438123160738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1438123161392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1438123161630
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123163311
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123165341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1438123165342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123166979
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123168053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1438123168054
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123169740
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.shiftLeft",1438123185461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123194142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123215964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123234499
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123245345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438123248025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123253108
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123270868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123272008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123286557
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1438123288801
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123289010
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123289090
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123295861
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438123295861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123296915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123352995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123354601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123359146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438123375627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123389429
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1438123389459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123390701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123393228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123396673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123400859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123401010
error,log,,,"Unhandled event loop exception",1438123401140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123403868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123454829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123455462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123477745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123502708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123502861
error,log,,,"Unhandled event loop exception",1438123502970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123504383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123547183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123556348
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123561117
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123656379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123666597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123672079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123711815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123757450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123761240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123761871
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123794903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438123821965
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438123868384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124050597
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1438124240746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124387489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124472820
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124495544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124499448
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1438124503977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124505465
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124506312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124509988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124582746
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124614580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124629411
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1438124633264
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1438124660088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124663763
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1438124665616
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1438124671078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124689163
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1438124698878
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1438124699725
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1438124701352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124705368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1438124709443
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1438124709519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1438124709519
